puesto,empresa,valoracion_empresa,ciudad,pais,tipo_contrato,salario,exp_minima,url
DATA SCIENTIST JUNIOR / DATA ENGINEER JUNIOR,"Tinamica, S.L.",86.0,Madrid,España,"Formativo, jornada parcial - mañana",No disponible,No requerida,https://www.infojobs.net/madrid/data-scientist-junior-data-engineer-junior/of-i0c0571baaf44edb180bf0c243f6b3c?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero Data Scientist / Business Analytics,TENEA Tecnologías,80.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/ingeniero-data-scientist-business-analytics/of-i984d4b683f44ca8e8e4f11f4199806?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Scientist Monitoring Engineer,ALSTOM,89.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/data-scientist-monitoring-engineer/of-ic6d5cf73254016b9879a8f6aaaab30?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Analista programador / Data Scientist,GRUPO SIA,76.0,Elche/Elx,España,"Indefinido, jornada completa",18.000€ - 36.000€ bruto/año,Al menos 3 años,https://www.infojobs.net/elche-elx/analista-programador-data-scientist/of-i617d453cf647d5bf002dae5a1eece5?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Scientist,Tesicnor,97.0,Barcelona,España,Jornada completa,No disponible,Al menos 1 año,https://www.infojobs.net/barcelona/data-scientist/of-if7b6c9e4844f128c6b561653560919?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Scientist,Tesicnor,97.0,Madrid,España,Jornada completa,No disponible,Al menos 1 año,https://www.infojobs.net/madrid/data-scientist/of-iff07ac6f82467682e9a69be69d3b21?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Scientist,Tesicnor,97.0,Noáin,España,Jornada completa,No disponible,Al menos 1 año,https://www.infojobs.net/noain/data-scientist/of-i38ffcec27a4432947f479e9f7fdfc5?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Scientist,MEDIAPOST,81.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/data-scientist/of-ifd9dd745fa440ca44831c172f464d6?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
PRÁCTICAS GMV DATA SCIENTIST,FUNDACION ADECCO,86.0,Tres Cantos,España,"De duración determinada, jornada completa",No disponible,No requerida,https://www.infojobs.net/tres-cantos/practicas-gmv-data-scientist/of-i33d523b7944ad8b782f718ead249e5?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Senior Data Scientist,Capgemini,79.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/barcelona/senior-data-scientist/of-i1a3ee82c354fe8a3cda4698c437841?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
DATA SCIENTIST/ Sector Farmacéutico,ADEAS RRHH,73.0,Santa Perpètua De Mogoda,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/santa-perpetua-de-mogoda/data-scientist-sector-farmaceutico/of-ib1bbc19a4a4567a67f445469c95c9b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Scientist Python,Grupo RETAbet,82.0,Zamudio,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/zamudio/data-scientist-python/of-i73507aae11448685a8479415897fd5?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Power BI Data scientist & analytics (100% remoto),UST España,,Zaragoza,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/zaragoza/power-bi-data-scientist-analytics-100-remoto/of-i7ce1449219407c93a8b0461c8d68f1?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
BIG DATA SCIENTIST,AVACCO,,Madrid,España,"Indefinido, jornada completa",None,Al menos 3 años,https://www.infojobs.net/madrid/big-data-scientist/of-i132d4cd24c4882a411ee592cdc4954?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Analista - Data scientist,Fnac,88.0,Pozuelo De Alarcón,España,"Indefinido, jornada completa",21.000€ - 30.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/pozuelo-de-alarcon/analista-data-scientist/of-i325aab7df949489adb9b084a1e6e39?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Engineer Azure,SEREM Consultoría Empresarial,79.0,Madrid,España,"Otros contratos, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/data-engineer-azure/of-id59de7fa714c09bfb21c6c8be3044f?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Microsoft Cloud Data Engineer,DEVOTEAM,83.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/microsoft-cloud-data-engineer/of-i602921dc33426384b4ca7252e0dde6?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Big Data Developer for Google Cloud (WFH),Webhelp Spain,88.0,Barcelona,España,"Indefinido, jornada completa",27.000€ - 33.000€ bruto/año,No requerida,https://www.infojobs.net/barcelona/big-data-developer-for-google-cloud-wfh/of-idaa85fb07645d7bbc7534bcad7fde8?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Informàtic: Data Analist,FORMAT EN FORMACIO PRESSIONAL S.L.,,Cerdanyola Del Vallès,España,"De duración determinada, jornada intensiva - mañana",1.800€ - 3.000€ bruto/mes,Al menos 1 año,https://www.infojobs.net/cerdanyola-del-valles/informatic-data-analist/of-i67da208a9e4c0f86e56d49e5191eb8?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Statistics Lifescience Background (German Speaker),IQVIA,92.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/statistics-lifescience-background-german-speaker/of-if283a39f34453fb10252ac7596349f?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Engineer Madrid,Accenture ofertas de profesionales con experiencia:,84.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/madrid/data-engineer-madrid/of-i1ea217cd5c4c4bba679320fb0d9653?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Loss Prevention,OpenSpring,,Madrid,España,"Indefinido, jornada completa",No disponible,No requerida,https://www.infojobs.net/madrid/data-loss-prevention/of-i20e73917974d2eb72100f13533a41e?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer,atSistemas,85.0,Valencia,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/valencia/data-engineer/of-i2ba873abdf4eb28fb21c26846bc494?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
DATA MASKING - INFORMÁTICA,"Infortec Consultores, S.A.U-.Zona Centro",75.0,Madrid,España,"Otros contratos, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/madrid/data-masking-informatica/of-i8af85e2ffe4091af241d0f3274abec?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Ingeniero/a Big Data,ALTRAN - Consultores/as,82.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/ingeniero-big-data/of-i0bb5ecb8f7418c88584589343d533d?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer AWS Freelance,Pixie Services,,Madrid,España,"Autónomo, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/madrid/data-engineer-aws-freelance/of-i87cc71412b4aef80b5367cdb0b606a?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Protection,TECDATA ENGINEERING,76.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/data-protection/of-ia01bfcb2274ef39c482ae2083807c9?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Arquitecto Data Cloud (f/m),T-Systems,79.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/arquitecto-data-cloud-f-m/of-i49bf154f9444288c145c1aaa6de114?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer (Elasticsearch),MINSAIT,78.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/data-engineer-elasticsearch/of-ibbfabaec2948e08544e9c0761b0705?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Machine Learning Engineer,Algoritmia,,Sant Cugat Del Vallès,España,"Indefinido, jornada completa",24.000€ - 30.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/sant-cugat-del-valles/machine-learning-engineer/of-ibe009464fe4dbca9f49a8f6987f73b?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer- Telecom,UMLAUT CONSULTING ENGINEERING SL,,Madrid,España,"Otros contratos, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/data-engineer-telecom/of-ib02758ca6a4c188ef3cda646268087?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Ingeniero/a de Datos,"SANDAV CONSULTORES, S.L.",92.0,Tres Cantos,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/tres-cantos/ingeniero-datos/of-ib122191a9f442d8f82f154f8b4eac5?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer Junior SAP,Neolith® Group,88.0,Almazora/Almassora,España,"Indefinido, jornada completa",No disponible,No requerida,https://www.infojobs.net/almazora-almassora/data-engineer-junior-sap/of-i0cdb52a364428599ba7d15b1cf40c8?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Analytics,AGIO GLOBAL TECHNOLOGY,86.0,Sevilla,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/sevilla/data-analytics/of-iecbcfb2cc94bbebbd9b725e57817a8?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Technician (DUTCH),Privalia parte de Veepee,79.0,Barcelona,España,"De duración determinada, jornada completa",18.000€ - 21.000€ bruto/año,Al menos 1 año,https://www.infojobs.net/barcelona/data-technician-dutch/of-i7ac11d63dc40d0b55a994a3048df51?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
CDO - Head of Data,GRUPO SAFAMOTOR,,Málaga,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/malaga/cdo-head-of-data/of-idb5a8f975f498d9d80edb50e8675ed?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Engineer,Davidson Consulting España,,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/data-engineer/of-ia1edf2b31d41ac911135cb1c32071b?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Responsable Técnico/a  Big Data/ B.I.,INETUM Norte,79.0,Bilbao,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/bilbao/responsable-tecnico-big-data-b.i./of-ie98b5e60de4d59be5cad467f7ddcb9?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Assistant (Big Data),GAMELOFT IBERICA,87.0,Barcelona,España,"Indefinido, jornada completa",No disponible,No requerida,https://www.infojobs.net/barcelona/data-assistant-big-data/of-i037448e4f94113b17eb3b0c779d786?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Senior Data Engineer,Adevinta Spain,97.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Más de 5 años,https://www.infojobs.net/barcelona/senior-data-engineer/of-idedcb5190a409ca996cd9a395e172f?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Ingeniero/a Big Data,Capgemini,79.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/ingeniero-big-data/of-ifd0a59337a4466bab0fafba26189b0?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Big Data engineer,Abalia,97.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/big-data-engineer/of-i2b6a5b37e046bea0cdaae458f69117?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Data Science con inglés,Azertium IT Global Services SL,84.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/data-science-con-ingles/of-i0f3010c75f49dfb10bc3ec030dd8fc?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Senior Data Engineer (Information Systems team),Adevinta Spain,97.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/senior-data-engineer-information-systems-team/of-i1f87d0d521475584eb516f59f119ae?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Especialista en BI,GESEIN,80.0,Madrid,España,"Otros contratos, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/especialista-bi/of-i7a6aab9b114b62a4c87ee996b182ae?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Ingeniero /a de datos / Teletrabajo,EXIS-TI,76.0,Madrid,España,"Otros contratos, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/ingeniero-datos-teletrabajo/of-i0255c5831c4600b70184fca67bcc08?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
Científico de datos para proyecto de investigación,INSTITUTO TECNOLOGICO AGRARIO DE CASTILLA Y LEON,91.0,Valladolid,España,"De duración determinada, jornada completa",33.000€ - 36.000€ bruto/año,Al menos 1 año,https://www.infojobs.net/valladolid/cientifico-datos-para-proyecto-investigacion/of-i4ec564a43b49a094944b50190feb40?applicationOrigin=search-new&page=3&sortBy=RELEVANCE
