position,company,valoracion_empresa,city,country,contract_type,salary,min_exp,url
Data Scientist Python,Grupo RETAbet,82.0,Zamudio,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/zamudio/data-scientist-python/of-i73507aae11448685a8479415897fd5?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero Data Scientist / Business Analytics,TENEA Tecnologías,80.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/ingeniero-data-scientist-business-analytics/of-i984d4b683f44ca8e8e4f11f4199806?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
DATA SCIENTIST/ Sector Farmacéutico,ADEAS RRHH,73.0,Santa Perpètua De Mogoda,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/santa-perpetua-de-mogoda/data-scientist-sector-farmaceutico/of-ib1bbc19a4a4567a67f445469c95c9b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Senior Data Scientist,Capgemini,79.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/barcelona/senior-data-scientist/of-i1a3ee82c354fe8a3cda4698c437841?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Informàtic: Data Analist,FORMAT EN FORMACIO PRESSIONAL S.L.,,Cerdanyola Del Vallès,España,"De duración determinada, jornada intensiva - mañana",1.800€ - 3.000€ bruto/mes,Al menos 1 año,https://www.infojobs.net/cerdanyola-del-valles/informatic-data-analist/of-i67da208a9e4c0f86e56d49e5191eb8?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Big Data Engineer - Google Cloud (Work from home),Webhelp Spain,88.0,Barcelona,España,"Indefinido, jornada completa",27.000€ - 33.000€ bruto/año,No requerida,https://www.infojobs.net/barcelona/big-data-engineer-google-cloud-work-from-home/of-ie03934f33448979eaf93d4c5adbb4b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Matemático para sector IT,Etalentum Group,,Vic,España,"Indefinido, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/vic/matematico-para-sector-it/of-i80f72fe18d4b9db41e10baf79c1a84?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Big Data Engineer Kafka,Multinacional Sector IT,,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/big-data-engineer-kafka/of-ia844b90aa74be48c6c27e946dcff9b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Machine Learning Engineer,Algoritmia,,Sant Cugat Del Vallès,España,"Indefinido, jornada completa",24.000€ - 30.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/sant-cugat-del-valles/machine-learning-engineer/of-ibe009464fe4dbca9f49a8f6987f73b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Engineer (Elasticsearch).,MINSAIT,79.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/data-engineer-elasticsearch-./of-id9866ecdce479daf520416171662c3?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Gestor-a de la Informació (data analyst) - Barcelona,CRUZ ROJA ESPAÑOLA,92.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/gestor-la-informacio-data-analyst-barcelona/of-i7af31266924347b4defebf55531863?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Engineer,KRELL CONSULTING & TRAINING,79.0,Barcelona,España,"De duración determinada, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/data-engineer/of-i65c54d461645b9bedf3b93443560fd?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Responsable Técnico/a  Big Data,INETUM Norte,80.0,Bilbao,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/bilbao/responsable-tecnico-big-data/of-ie15fea5053456c9c63b96583d7ccef?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Experto/a POWER BI Python,RDT INGENIEROS - ofertas de trabajo,,Bilbao,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/bilbao/experto-power-bi-python/of-ic82c2a1fd846189484b63105e0c44c?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Platform & Governance Manager,Adevinta Spain,97.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/data-platform-governance-manager/of-if17902eeaa4038839c865b54c0c113?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Técnico/a Junior Data Center (CPD),Grupo Zelenza,,Barcelona,España,"Otros contratos, jornada completa",No disponible,Al menos 1 año,https://www.infojobs.net/barcelona/tecnico-junior-data-center-cpd/of-ib462bb38374b08adbd223c7f727793?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Assistant (Big Data),GAMELOFT IBERICA,87.0,Barcelona,España,"Indefinido, jornada completa",No disponible,No requerida,https://www.infojobs.net/barcelona/data-assistant-big-data/of-i037448e4f94113b17eb3b0c779d786?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero/a Big Data,Capgemini,79.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/barcelona/ingeniero-big-data/of-ifd0a59337a4466bab0fafba26189b0?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Senior Data Engineer (Information Systems team),Adevinta Spain,97.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/senior-data-engineer-information-systems-team/of-i1f87d0d521475584eb516f59f119ae?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Ingeniero de datos Senior con Inglés alto,GETRONICS,77.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 4 años,https://www.infojobs.net/barcelona/ingeniero-datos-senior-con-ingles-alto/of-i332b3ef90448819504096e618196cb?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Data Engineer - Messaging Team,Adevinta,97.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/data-engineer-messaging-team/of-i7a017ca0b64e7ca61de52411204f8f?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
BI & Data Engineer,Adevinta,97.0,Barcelona,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/barcelona/bi-data-engineer/of-i181eebb54d4375bf1d78c6bdda8464?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Senior Data Engineer,DOW JONES INTERNATIONAL,,Barcelona,España,"Indefinido, jornada completa",No disponible,Más de 5 años,https://www.infojobs.net/barcelona/senior-data-engineer/of-ie5bd6ea5854680a6c485ce93c3ceea?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
Data Science,HOTUSA Oficinas centrales,,Barcelona,España,"Indefinido, jornada completa",No disponible,Más de 5 años,https://www.infojobs.net/barcelona/data-science/of-i953981c30d4e6392442540c173d0e9?applicationOrigin=search-new&page=2&sortBy=RELEVANCE
