puesto,empresa,valoracion_empresa,ciudad,pais,tipo_contrato,salario,exp_minima,url
Ingeniero de Geometría Computacional,HP SOLUTIONS CREATION AND DEVELOPMENT SERVICES,88.0,León,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/leon/ingeniero-geometria-computacional/of-i827c1d60e044d18df3b6e05ea085cc?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Machine learning Engineer / Ingeniero/a de software con machine learning,BSH ELECTRODOMESTICOS ESPAÑA S.A,90.0,Zaragoza,España,Jornada completa,No disponible,Al menos 2 años,https://www.infojobs.net/zaragoza/machine-learning-engineer-ingeniero-software-con-machine-learning/of-i23e47c86f54f2a98ebc5e4f167332e?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Squad Lead / Senior Machine Learning Engineer for Redstor,CIKLUM IT SPAIN SL,95.0,Málaga,España,"Indefinido, jornada completa",No disponible,Más de 5 años,https://www.infojobs.net/malaga/squad-lead-senior-machine-learning-engineer-for-redstor/of-id19437634547d7998219c3c7a1db85?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Machine Learning Engineer,Algoritmia,,Sant Cugat Del Vallès,España,"Indefinido, jornada completa",24.000€ - 30.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/sant-cugat-del-valles/machine-learning-engineer/of-ibe009464fe4dbca9f49a8f6987f73b?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Machine Learning Engineer,AGH IBERICA SOLUCIONES CONSULTING SL.,,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 3 años,https://www.infojobs.net/madrid/machine-learning-engineer/of-i4a36e84286433a97de53b77663c8e9?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Azure Engineer,ADIC-IIC,100.0,Madrid,España,"Indefinido, jornada completa",No disponible,Al menos 2 años,https://www.infojobs.net/madrid/azure-engineer/of-id0c60064974fa49ef540f37a036caa?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Frontend Engineer - VueJS (Semi remote),Q-TECH,,Barcelona,España,"Indefinido, jornada completa",36.000€ - 40.000€ bruto/año,Al menos 3 años,https://www.infojobs.net/barcelona/frontend-engineer-vuejs-semi-remote/of-icafeb2563a48ef86a5e80fe61d5566?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Backend Engineer - Python,Q-TECH,,Barcelona,España,"Indefinido, jornada completa",30.000€ - 40.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/barcelona/backend-engineer-python/of-iba3525ab9e4701b5492642644764d2?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
Artificial Intelligence Engineer / Python Developer (100% teletrabajo),Second Window,81.0,Sevilla,España,"Indefinido, jornada completa",30.000€ - 42.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/sevilla/artificial-intelligence-engineer-python-developer-100-teletrabajo/of-idd2962d79d4bf3a7e9ea2d07ade927?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
JavaScript Engineer (English speaking),FGI LIFE SCIENCES S.L.,,Barcelona,España,"Fijo discontinuo, jornada completa",30.000€ - 45.000€ bruto/año,Al menos 2 años,https://www.infojobs.net/barcelona/javascript-engineer-english-speaking/of-i00e619c8094566b9e630a87c638e4f?applicationOrigin=search-new&page=1&sortBy=RELEVANCE
